Subject,Question ID,Question,OptionA,OptionB,OptionC,OptionD,Correct_Option
General Knowledge,GEN01,What is the capital of France?,Paris,London,Berlin,Madrid,Option A
General Knowledge,GEN02,Who is known as the Iron Man of India?,Mahatma Gandhi,Subhas Bose,Sardar Patel,Jawaharlal Nehru,Option C
General Knowledge,GEN03,Which is the smallest continent by land area?,Australia,Europe,Antarctica,South America,Option A
General Knowledge,GEN04,What does the term 'Eureka' mean?,Happiness,Discovery,Victory,Sadness,Option B
General Knowledge,GEN05,Who invented the light bulb?,Thomas Edison,Nikola Tesla,Graham Bell,James Watt,Option A
General Knowledge,GEN06,Which organ pumps blood in the human body?,Brain,Lungs,Heart,Liver,Option C
General Knowledge,GEN07,Who wrote the national anthem of India?,Rabindranath Tagore,Bankim Chandra,Sarojini Naidu,Subhash Bose,Option A
General Knowledge,GEN08,The tallest building in the world is located in?,Shanghai,Dubai,New York,Tokyo,Option B
General Knowledge,GEN09,Which ocean is the largest?,Atlantic,Indian,Pacific,Arctic,Option C
General Knowledge,GEN10,Who discovered gravity?,Einstein,Newton,Galileo,Darwin,Option B
General Knowledge,GEN11,What is the square root of 144?,10,11,12,13,Option C
General Knowledge,GEN12,Which planet is closest to the Sun?,Earth,Venus,Mercury,Mars,Option C
General Knowledge,GEN13,What is the full form of 'WWW'?,World Wide Web,Wild World Web,Western Web World,Wired Web World,Option A
General Knowledge,GEN14,Which gas do plants release during photosynthesis?,Carbon Dioxide,Nitrogen,Oxygen,Hydrogen,Option C
General Knowledge,GEN15,Who is the current President of India (2024)?,Ram Nath Kovind,Droupadi Murmu,Pranab Mukherjee,Narendra Modi,Option B
General Knowledge,GEN16,Which country is called the Land of Rising Sun?,India,Japan,China,South Korea,Option B
General Knowledge,GEN17,What is the chemical symbol for Sodium?,Na,So,Sn,S,Option A
General Knowledge,GEN18,Which festival is celebrated to mark the victory of good over evil?,Eid,Holi,Diwali,Christmas,Option C
General Knowledge,GEN19,The Statue of Liberty was a gift from which country?,France,Germany,Italy,Spain,Option A
General Knowledge,GEN20,Which language is the most spoken worldwide?,Hindi,Mandarin,English,Spanish,Option B
Science,SCI01,What is H2O commonly known as?,Salt,Water,Oxygen,Hydrogen,Option B
Science,SCI02,Who proposed the theory of relativity?,Galileo,Newton,Einstein,Bohr,Option C
Science,SCI03,What is the pH value of pure water?,6,7,8,9,Option B
Science,SCI04,Which vitamin is produced in the body with sunlight?,Vitamin A,Vitamin B,Vitamin C,Vitamin D,Option D
Science,SCI05,What is the chemical symbol for Gold?,Au,Ag,Gd,Go,Option A
Science,SCI06,Which gas is essential for respiration?,Carbon Dioxide,Oxygen,Nitrogen,Hydrogen,Option B
Science,SCI07,What type of energy is stored in a battery?,Kinetic Energy,Chemical Energy,Thermal Energy,Solar Energy,Option B
Science,SCI08,Who is the father of modern chemistry?,Lavoisier,Dalton,Mendeleev,Bohr,Option A
